Grapheme	IPA	Frequency
aoe	a ʔ u	2
uoe	u ʔ u	0
mb	ʙ	0
ei	ɛi	5
eu	ɛu	1
eû	ɛu	0
eî	ɛi	0
oi	ɔi	1
oe	u	83
oé	u	0
oĕ	u	1
iie	i	0
ie	i	1
ië	i ʔ e	0
aè	aɛ	0
aé	aɛ	0
ai	ai	5
tj	t͡ʃ	4
dj	d͡ʒ	10
th	t͡ʃ	0
ng	ŋ	27
ñg	ŋ	2
oh	o	2
oö	o ʔ o	0
aä	a ʔ a	0
(ie)h	ç	0
(ai)h	ç	0
(?<!a)ih	ç	0
-	ʔ	1
 	 	38
\(	(	2
\?	?	2
\)	)	2
\/	/	0
\;	;	0
\[	[	0
\]	]	0
a	a	133
à	a	1
ò	ɔ	1
ä		0
ā	aː	1
â	a	17
ă	a	1
b	b	32
c	k	1
d	d	8
e	e	55
é	e	10
è	ɛ	17
ë		1
ĕ	e	1
ē	eː	0
ê	e	2
f	f	0
g	g	14
h	h	6
i	i	30
î	i	2
([aiueoé])ï	 ʔ i	0
j	j	7
k	k	50
l	l	57
m	m	32
n	n	20
o	ɔ	28
ô	o	33
ö		0
ó	o	0
p	p	35
r	r	20
s	s	31
t	t	67
u	u	2
û	u	1
w	w	8
